Model,Capacity,range(km),maintenance cost per hour,Price(USD)
Bombardier CRJ200,50,3000,2185.43,12857083.91
Bombardier CRJ200,50,3000,1202.08,13914058.55
Airbus A320,180,6300,761.38,90735695.86
Boeing 737,162,5700,592.63,136659689.4
Cessna 172,4,1285,4245.99,203798.1
Airbus A350,350,14800,1869.09,354976612.8
Boeing 737,162,5700,2443.75,57032326.56
Cessna 172,4,1285,1814.65,396750.44
Cessna 172,4,1285,2552.31,215144.49
Bombardier CRJ200,50,3000,3165.87,16981571.17
Airbus A320,180,6300,3233.95,103115871.8
Boeing 777,396,15600,3579.05,385983616.6
Bombardier CRJ200,50,3000,1049.17,17772783.25
Boeing 777,396,15600,1902.7,349042400.5
Boeing 777,396,15600,2960.2,426940813.4
Airbus A350,350,14800,898.22,378696823.9
Boeing 777,396,15600,703.52,609835688
Boeing 737,162,5700,4229.32,84803923.37
Boeing 737,162,5700,1764.21,81240277.67
Cessna 172,4,1285,835.48,205472.14
Cessna 172,4,1285,3975.1,282880.8
Airbus A320,180,6300,3970.72,85658440.17
Bombardier CRJ200,50,3000,2113.1,12475000.59
Boeing 737,162,5700,1989.04,69650507.55
Airbus A350,350,14800,1899.42,402568177
Bombardier CRJ200,50,3000,4492.46,16455191.8
Boeing 777,396,15600,1038.17,477861066.7
Bombardier CRJ200,50,3000,3969.35,13932179.15
Bombardier CRJ200,50,3000,2852.3,23385809.92
Cessna 172,4,1285,1914.6,389745.75
Cessna 172,4,1285,4584.05,245284.2
Airbus A350,350,14800,1529.59,437745351.3
Bombardier CRJ200,50,3000,1803.88,22142984.74
Bombardier CRJ200,50,3000,4116.52,13469724.32
Airbus A320,180,6300,4516.52,72859502.28
Airbus A350,350,14800,1525.71,360117097.6
Airbus A320,180,6300,4181.07,134849581.5
Boeing 777,396,15600,2378.35,388254066
Airbus A350,350,14800,1039.39,468878805.6
Airbus A350,350,14800,2834.56,387359980.1
Airbus A320,180,6300,2136.33,63325195.66
Cessna 172,4,1285,1781.78,349541.06
Bombardier CRJ200,50,3000,3243.04,20843194.48
Cessna 172,4,1285,1152.03,281786.25
Airbus A320,180,6300,4935.43,87316106.71
Airbus A350,350,14800,1569.37,400312207.5
Boeing 737,162,5700,2155.02,67183903.98
Airbus A320,180,6300,906.3,191050893
Cessna 172,4,1285,1943.51,215830.96
Airbus A350,350,14800,3549.04,636428287.2
Cessna 172,4,1285,2804.42,190999.82
Boeing 737,162,5700,3609.22,132930259.1
Boeing 737,162,5700,4715.28,116978442.3
Boeing 777,396,15600,4661.12,738770404.8
Boeing 737,162,5700,1660.74,64903179.49
Airbus A320,180,6300,2883.43,127589373.7
Bombardier CRJ200,50,3000,918.96,12388808.47
Airbus A320,180,6300,2025.63,131800157.6
Bombardier CRJ200,50,3000,3766.8,12872568.92
Cessna 172,4,1285,3389.14,397989.08
Airbus A320,180,6300,1227.33,96788868.97
Cessna 172,4,1285,522.78,317496.98
Cessna 172,4,1285,2969.3,203302.52
Boeing 737,162,5700,3704.81,67626196.15
Boeing 777,396,15600,1964.3,435882785.2
Airbus A320,180,6300,3459.26,140344150.7
Boeing 737,162,5700,921.54,87878634.15
Cessna 172,4,1285,4878.55,196267.42
Bombardier CRJ200,50,3000,4514.21,17894235.68
Airbus A320,180,6300,3096.07,89750866.58
Cessna 172,4,1285,1378.59,259510.14
Cessna 172,4,1285,4732.06,224011.9
Boeing 777,396,15600,4616.89,532986648.8
Bombardier CRJ200,50,3000,4836.29,14384470.91
Cessna 172,4,1285,1825.02,285823.04
Airbus A320,180,6300,1262.72,85071663.75
Boeing 777,396,15600,4712.7,362440325.3
Cessna 172,4,1285,3267.53,216986.53
Airbus A320,180,6300,1130.38,81164502.17
Bombardier CRJ200,50,3000,3636.57,23974036.95
Airbus A320,180,6300,2117.71,82396710.13
Boeing 777,396,15600,4401.83,418007942.9
Airbus A320,180,6300,2801.04,82834396.57
Airbus A350,350,14800,3658.85,414595482.5
Airbus A320,180,6300,4505.02,124364472.6
Airbus A350,350,14800,3102.26,363499352.5
Airbus A350,350,14800,2595.19,397867099.2
Boeing 737,162,5700,637.25,104321929.9
Boeing 777,396,15600,4201.7,544185572.2
Airbus A350,350,14800,3964.97,332190283.6
Bombardier CRJ200,50,3000,3303.01,23289653.75
Boeing 737,162,5700,2932.86,75935599.5
Boeing 777,396,15600,3767.41,317065019
Airbus A320,180,6300,4078.34,79821921.86
Airbus A350,350,14800,2475.37,391118009.6
Airbus A320,180,6300,2340.29,85144981.29
Airbus A320,180,6300,1203.97,92195099.49
Cessna 172,4,1285,3470.89,222355.92
Bombardier CRJ200,50,3000,4796.89,24005505.92
Boeing 737,162,5700,2388.2,70011721.15
Airbus A350,350,14800,2101.88,591037757
Airbus A320,180,6300,2633.78,108071613.8
Airbus A320,180,6300,2712.27,94713313.58
Airbus A350,350,14800,2293.27,325859473.3
Boeing 777,396,15600,3357.92,618640959.9
Bombardier CRJ200,50,3000,2764.11,17373210.04
Bombardier CRJ200,50,3000,3464.12,18719354.17
Airbus A320,180,6300,619.3,73657499.53
Boeing 737,162,5700,4731.04,129403197.6
Cessna 172,4,1285,2562.14,187249.11
Boeing 777,396,15600,4736.59,408752497.2
Cessna 172,4,1285,820.35,296583.45
Cessna 172,4,1285,4301.94,201106.59
Cessna 172,4,1285,1031.74,231857.52
Boeing 737,162,5700,3330.24,123512626.2
Bombardier CRJ200,50,3000,1769.16,12835276.83
Boeing 737,162,5700,3877.77,108922584.6
Cessna 172,4,1285,2174.08,389175.66
Cessna 172,4,1285,2033.62,209049.52
Bombardier CRJ200,50,3000,3878.92,23587120.57
Cessna 172,4,1285,964.06,260927.64
Airbus A320,180,6300,1940.22,153909858.3
Boeing 777,396,15600,2251.41,410469031.8
Airbus A350,350,14800,4777.73,367471059.4
Bombardier CRJ200,50,3000,3343.27,11294643.37
Boeing 777,396,15600,3526.33,349306992
Airbus A350,350,14800,4062.11,684223379.7
Boeing 737,162,5700,759.01,57765773.43
Airbus A320,180,6300,2486.89,112151806.7
Airbus A320,180,6300,1143.46,87977234.14
Airbus A320,180,6300,3281.98,96336514.65
Airbus A320,180,6300,827.43,104143760.3
Bombardier CRJ200,50,3000,3678.09,10739495.68
Bombardier CRJ200,50,3000,4157.6,16600779.99
Bombardier CRJ200,50,3000,4937,18828564.05
Bombardier CRJ200,50,3000,3997.16,11817262.56
Boeing 777,396,15600,2409,396824752.1
Bombardier CRJ200,50,3000,551.09,18252268.93
Boeing 777,396,15600,753.36,410411470.3
Airbus A320,180,6300,3857.2,80504029.77
Bombardier CRJ200,50,3000,4829.78,24267695.88
Cessna 172,4,1285,1506.18,311793.44
Boeing 737,162,5700,554.7,64881809.73
Airbus A350,350,14800,832.08,372785335.9
Boeing 737,162,5700,4861.86,81388879.52
Bombardier CRJ200,50,3000,2545.43,13233319.52
Bombardier CRJ200,50,3000,3129.41,20606861.86
Bombardier CRJ200,50,3000,1748.22,15094612.56
Boeing 737,162,5700,2586.64,58642290.01
Bombardier CRJ200,50,3000,4884.78,12256600.5
Boeing 737,162,5700,3641.73,83389306.25
Cessna 172,4,1285,3581.29,201372.89
Airbus A320,180,6300,4599.17,68015390.37
Boeing 777,396,15600,4697.28,470396084.1
Airbus A320,180,6300,703.48,175206086.1
Bombardier CRJ200,50,3000,4942.74,11508470.4
Cessna 172,4,1285,3173.59,278854.84
Bombardier CRJ200,50,3000,2366.69,13569663.2
Airbus A320,180,6300,753.69,78401940.08
Boeing 737,162,5700,3960.44,63757862.56
Boeing 777,396,15600,4323.41,468777225.3
Bombardier CRJ200,50,3000,4793.23,11903076.77
Airbus A320,180,6300,1528.89,66339400.96
Boeing 737,162,5700,1011.01,105920383.9
Airbus A320,180,6300,2841.38,126146769.1
Boeing 777,396,15600,2983.58,400265205.2
Boeing 737,162,5700,4444.94,132408315.5
Airbus A350,350,14800,3668.36,474065660.5
Boeing 737,162,5700,1113.67,70176457.69
Bombardier CRJ200,50,3000,2265.1,15524062.43
Bombardier CRJ200,50,3000,4568.71,22778117.67
Boeing 737,162,5700,2284.44,63929928.44
Airbus A320,180,6300,4380.64,114422880.7
Boeing 737,162,5700,2566.11,63107220.83
Airbus A350,350,14800,2716.78,375548779.8
Boeing 777,396,15600,841.38,576919744.9
Cessna 172,4,1285,1076.21,221535.66
Cessna 172,4,1285,1318.46,193616.04
Boeing 737,162,5700,4535.55,77797895.08
Cessna 172,4,1285,1365.3,368135.63
Bombardier CRJ200,50,3000,1260.21,23413691.25
Boeing 777,396,15600,1428.5,484733312
Bombardier CRJ200,50,3000,2765.38,12577691.22
Boeing 777,396,15600,4431.1,795932931.6
Bombardier CRJ200,50,3000,774.85,13329270.54
Boeing 777,396,15600,1330.34,838287790.2
Boeing 777,396,15600,2167.12,431794832
Boeing 777,396,15600,2581.41,759234162.1
Airbus A320,180,6300,665.07,109400015.2
Airbus A350,350,14800,2802.55,767809713.6
Airbus A320,180,6300,982.27,121021584.2
Boeing 777,396,15600,1711.59,519257758.1
Boeing 737,162,5700,590.32,61730854.91
Airbus A320,180,6300,1038.93,95044617.16
Cessna 172,4,1285,3171.17,409979.57
Airbus A350,350,14800,891.14,598384167.1
Bombardier CRJ200,50,3000,3140.79,10822525.27
Airbus A350,350,14800,1776.99,365229877
Boeing 737,162,5700,3406.63,54584453.64
Bombardier CRJ200,50,3000,958.02,23978996.46
Boeing 777,396,15600,1606.81,374028355
Bombardier CRJ200,50,3000,1280.18,11473000.39
Airbus A320,180,6300,861.05,80480172.68
Boeing 737,162,5700,1004.18,63140915.34
Cessna 172,4,1285,4862.62,201375.72
Airbus A350,350,14800,1268.99,752829008.1
Airbus A320,180,6300,4682.19,80946267.91
Airbus A350,350,14800,3962.72,392546696.5
Bombardier CRJ200,50,3000,1956.56,10109742.51
Airbus A350,350,14800,1016.77,374106781.9
Bombardier CRJ200,50,3000,1798.84,19192333.83
Boeing 737,162,5700,2896.65,93701411.16
Boeing 737,162,5700,2014.72,100577709.4
Airbus A350,350,14800,1645.88,687642213.1
Cessna 172,4,1285,3921.03,289587.62
Airbus A350,350,14800,2069.91,630470065.6
Cessna 172,4,1285,4237.79,301420.66
Airbus A350,350,14800,4722.53,349829134.9
Airbus A350,350,14800,799.23,582112934.2
Airbus A320,180,6300,1128.98,151066485.1
Cessna 172,4,1285,1407.32,337638.96
Airbus A320,180,6300,3493.39,75061979.82
Boeing 737,162,5700,2114.74,71082595.52
Boeing 777,396,15600,2476.11,427119287.5
Cessna 172,4,1285,2582.06,214095
Airbus A320,180,6300,1544.96,91497555.28
Bombardier CRJ200,50,3000,2227.51,12359504.58
Airbus A320,180,6300,1026.04,84401415.18
Airbus A350,350,14800,3324.69,431109593.3
Airbus A350,350,14800,3290.33,471048132.4
Airbus A320,180,6300,4522.52,98684861.81
Cessna 172,4,1285,1618.2,195540.11
Airbus A350,350,14800,650.9,577421569.7
Boeing 777,396,15600,2039.37,427280427.3
Airbus A350,350,14800,997.84,594120521.8
Bombardier CRJ200,50,3000,4087.83,17864754.21
Airbus A320,180,6300,1531.63,129466237
Boeing 777,396,15600,3622.77,614010567.5
Boeing 737,162,5700,1633.1,64693298.87
Bombardier CRJ200,50,3000,2579.03,27762947.01
Bombardier CRJ200,50,3000,1190.08,15028245.52
Airbus A320,180,6300,581.5,146047126.2
Boeing 737,162,5700,4694.53,85135611.34
Cessna 172,4,1285,3682.57,428232.23
Boeing 737,162,5700,3093.3,141254483.6
Airbus A320,180,6300,4704.65,107071085.5
Boeing 737,162,5700,2528.78,63813353.76
Boeing 777,396,15600,3160.74,441083753.9
Boeing 777,396,15600,746.43,400222450.1
Boeing 777,396,15600,2918.28,437958676.4
Boeing 737,162,5700,2058.56,90766689.91
Bombardier CRJ200,50,3000,1510.72,23108163.33
Boeing 777,396,15600,1133.86,290357765.1
Boeing 737,162,5700,4616.81,121181128.8
Boeing 737,162,5700,3112.65,61753364.76
Boeing 737,162,5700,884.07,103845445.3
Airbus A320,180,6300,2759.88,78470001.12
Bombardier CRJ200,50,3000,1444.58,12045868.96
Airbus A320,180,6300,1423.13,112470037.3
Boeing 777,396,15600,3041.79,451170329.4
Cessna 172,4,1285,3989.87,282689.65
Bombardier CRJ200,50,3000,2303.43,13392994.52
Boeing 777,396,15600,1198.58,341620837.4
Boeing 737,162,5700,3398,60864670.56
Bombardier CRJ200,50,3000,614.24,16373991.26
Bombardier CRJ200,50,3000,621.93,13610402.78
Cessna 172,4,1285,1539.84,380685.58
Boeing 737,162,5700,3437.36,69227893.81
Cessna 172,4,1285,947.49,228894.71
Boeing 737,162,5700,4235.99,76883649
Airbus A350,350,14800,3506.38,773021331.4
Boeing 737,162,5700,558.51,95932748.82
Boeing 777,396,15600,1435.49,410547222.8
Airbus A350,350,14800,2396.41,325735477.2
Boeing 777,396,15600,4178.5,694805600.7
Bombardier CRJ200,50,3000,3156.33,10374282.98
Airbus A320,180,6300,3308.67,99274678.71
Boeing 777,396,15600,1825.1,855652712.3
Airbus A350,350,14800,3936.23,534118029
Bombardier CRJ200,50,3000,4525.49,23596737.16
Boeing 777,396,15600,2413.46,409818407.4
Boeing 777,396,15600,3350.65,461422903.5
Airbus A350,350,14800,1127.1,641564860.3
Bombardier CRJ200,50,3000,1272.56,15493434.09
Boeing 737,162,5700,582.76,98347881.48
Airbus A320,180,6300,1733.25,107455241.4
Boeing 777,396,15600,3431.39,407760050.7
Boeing 777,396,15600,3202.33,785971272.2
Boeing 777,396,15600,1289.17,544977174.1
Cessna 172,4,1285,2835.13,186356.66
Airbus A320,180,6300,1248.28,105368168.7
Cessna 172,4,1285,1604.07,197558.76
Airbus A350,350,14800,1799.12,645087606.9
Airbus A350,350,14800,3048.82,576163451.6
Boeing 737,162,5700,3486.52,58012610.13
Airbus A350,350,14800,640.32,398390192.3
Bombardier CRJ200,50,3000,3177.85,26692691.66
Airbus A350,350,14800,2004.1,619483252.8
Boeing 777,396,15600,979.69,538818025.7
Cessna 172,4,1285,3597.81,281728.9
Bombardier CRJ200,50,3000,1608.81,18487630.58
Boeing 777,396,15600,1724.65,436247697.6
Boeing 737,162,5700,2124.38,62987372.51
Boeing 737,162,5700,1333.1,110533528.6
Airbus A320,180,6300,4428.26,82747415.53
Bombardier CRJ200,50,3000,3615.24,19802463.23
Bombardier CRJ200,50,3000,1623.51,22165024.64
Cessna 172,4,1285,1312.59,218139.71
Airbus A320,180,6300,4619.7,69889599.06
Boeing 777,396,15600,4659.78,439452135.4
Boeing 737,162,5700,4749.2,104368669.5
Boeing 777,396,15600,1935.95,398763847
Cessna 172,4,1285,666.53,204416.15
Airbus A320,180,6300,846.29,142763723.8
Boeing 737,162,5700,2029.44,62273842.69
Boeing 777,396,15600,2927.71,562544947.4
Airbus A350,350,14800,1934.39,428130328.7
Boeing 737,162,5700,1548.32,69105297.56
Boeing 737,162,5700,4415.44,63981896.93
Airbus A350,350,14800,4725.8,411986092.4
Bombardier CRJ200,50,3000,4990.7,22900748.39
Airbus A320,180,6300,2659.44,89404616.34
Boeing 777,396,15600,4431.55,379868475.1
Boeing 737,162,5700,2396.11,122107209.7
Cessna 172,4,1285,1574.5,332946.55
Airbus A320,180,6300,1833.39,113859544.4
Airbus A350,350,14800,689.42,519435174.2
Cessna 172,4,1285,2229.47,297440.98
Cessna 172,4,1285,1482.14,431915.17
Cessna 172,4,1285,4751.29,209128.43
Bombardier CRJ200,50,3000,3260.35,12275991.04
Bombardier CRJ200,50,3000,3234.82,12669634.9
Airbus A320,180,6300,1538.01,73477867.87
Boeing 737,162,5700,4008.13,59934682.48
Airbus A350,350,14800,760.29,595285903.8
Cessna 172,4,1285,3632.09,298226.62
Boeing 737,162,5700,4171.25,64747468.91
Bombardier CRJ200,50,3000,3168.23,10244738.98
Airbus A350,350,14800,911.69,349501366
Airbus A320,180,6300,4499.37,75322787.62
Cessna 172,4,1285,4379.57,446438.18
Airbus A350,350,14800,891.44,447159731.8
Airbus A320,180,6300,2177.1,149954427.3
Boeing 777,396,15600,864.71,468928975.1
Boeing 737,162,5700,3574.66,63355505.75
Cessna 172,4,1285,2662.64,411247.75
Airbus A350,350,14800,4211.06,397704445.3
Bombardier CRJ200,50,3000,1701.63,14877095.06
Airbus A350,350,14800,4088.42,402864405.4
Cessna 172,4,1285,3638.62,341303.71
Boeing 737,162,5700,3283.75,112318556.9
Airbus A350,350,14800,2008.03,408001204
Boeing 777,396,15600,1223.42,398723639
Airbus A320,180,6300,528.74,176757814.9
Cessna 172,4,1285,3276.17,184641.08
Boeing 777,396,15600,3353.03,734870703.4
Airbus A320,180,6300,4009.3,118866261.8
Bombardier CRJ200,50,3000,4833.46,19571684.77
Airbus A320,180,6300,3346.8,131758102.5
Bombardier CRJ200,50,3000,1854.34,18710232.77
Airbus A350,350,14800,803.08,483499667.1
Boeing 777,396,15600,705.84,363983558.2
Boeing 737,162,5700,4880.7,59912822.33
Airbus A350,350,14800,3912.18,587268295.2
Bombardier CRJ200,50,3000,599.56,17875673.94
Boeing 737,162,5700,3574.83,90781164.94
Boeing 777,396,15600,1731.32,340010547.5
Boeing 737,162,5700,1236.31,63367888.47
Boeing 737,162,5700,3621.57,127413480.2
Airbus A350,350,14800,3445.3,463735696.8
Airbus A320,180,6300,4778.89,133529410.7
Cessna 172,4,1285,2388.77,321604.64
Airbus A350,350,14800,2289.17,370619257.4
Boeing 777,396,15600,4523.45,684189255.6
Boeing 777,396,15600,1458.97,486950793.6
Airbus A350,350,14800,4389.61,426070238.4
Bombardier CRJ200,50,3000,4856.87,22479913.54
Bombardier CRJ200,50,3000,3969.15,12626529.51
Cessna 172,4,1285,3924.61,217901.08
Airbus A350,350,14800,4084.42,398713879.8
Boeing 737,162,5700,1027.89,85200995.59
Bombardier CRJ200,50,3000,1402.36,14249635.57
Bombardier CRJ200,50,3000,788.94,13090077.09
Bombardier CRJ200,50,3000,1896.63,11286956.54
Airbus A350,350,14800,552.29,526105056.4
Airbus A350,350,14800,3200.09,473880075.1
Airbus A350,350,14800,3627.42,336314382.7
Cessna 172,4,1285,1589.2,212681.8
Boeing 777,396,15600,1141.23,603705999.5
Cessna 172,4,1285,3018.42,232450.75
Boeing 777,396,15600,1969.08,403263641.9
Cessna 172,4,1285,649.41,390289.51
Airbus A320,180,6300,2286.15,129426744.2
Airbus A350,350,14800,4102.64,459564319.1
Cessna 172,4,1285,1253.67,399513.55
Airbus A350,350,14800,642.14,439281508.7
Bombardier CRJ200,50,3000,733.87,12918104.65
Airbus A350,350,14800,3713.39,386966610.2
Boeing 737,162,5700,2027.53,77565461.23
Airbus A350,350,14800,2535.43,470795089.6
Bombardier CRJ200,50,3000,2868.81,21673752.5
Airbus A350,350,14800,4423.03,354300632
Cessna 172,4,1285,4891.39,395779.06
Boeing 737,162,5700,3464.18,83746656.77
Cessna 172,4,1285,2999.14,308899.5
Bombardier CRJ200,50,3000,1397.94,12219937.83
Bombardier CRJ200,50,3000,824.89,11764217.83
Airbus A350,350,14800,4407.23,310192361.8
Cessna 172,4,1285,3842.18,240008.47
Boeing 737,162,5700,4944.42,60666863.35
Cessna 172,4,1285,4401.64,309612.09
Bombardier CRJ200,50,3000,2690.01,17511763.82
Boeing 737,162,5700,4553.16,124382800.4
Airbus A320,180,6300,4605.64,124095241.3
Boeing 777,396,15600,3303.35,372709628.1
Boeing 737,162,5700,3721.21,89721217.34
Bombardier CRJ200,50,3000,1308.57,12044143.46
Airbus A320,180,6300,1612.54,91052472.45
Boeing 737,162,5700,2503.87,76409741.39
Boeing 777,396,15600,1235.86,380959219.7
Airbus A350,350,14800,4862.36,324113372.4
Cessna 172,4,1285,3980.63,314831.13
Bombardier CRJ200,50,3000,4864.19,12167762.43
Airbus A320,180,6300,2016.51,68307213.88
Airbus A350,350,14800,2438.99,787873764.4
Airbus A320,180,6300,1251.69,129235355
Airbus A320,180,6300,665.02,75840490.4
Bombardier CRJ200,50,3000,4298.77,14582673.19
Boeing 777,396,15600,3134.09,759072292
Airbus A350,350,14800,1713.87,365006071.1
Cessna 172,4,1285,2890.26,229358.02
Airbus A350,350,14800,1922.7,428401094.7
Boeing 777,396,15600,687.08,815942990.5
Bombardier CRJ200,50,3000,2546.33,12493384.83
Boeing 777,396,15600,2699.81,441640021.1
Airbus A350,350,14800,1408.34,333599086.5
Airbus A350,350,14800,4864.6,600439190.1
Cessna 172,4,1285,4406.64,254604.52
Boeing 777,396,15600,3616.82,403561166.9
Airbus A350,350,14800,2737.29,385904600.3
Cessna 172,4,1285,4410.07,474653.29
Boeing 737,162,5700,1470.54,127786656
Airbus A350,350,14800,2272.39,383584117.7
Cessna 172,4,1285,4997.36,229195.61
Bombardier CRJ200,50,3000,4897.28,12463038.84
Boeing 777,396,15600,3051.57,828711118.2
Bombardier CRJ200,50,3000,4453.32,27022571.23
Bombardier CRJ200,50,3000,4135.31,10592663.56
Bombardier CRJ200,50,3000,4090.16,11893807.88
Airbus A350,350,14800,2950.2,376991918.6
Boeing 777,396,15600,1960.64,460975259.9
Boeing 777,396,15600,2248.51,393019822.4
Airbus A350,350,14800,1568.95,433451433.7
Airbus A320,180,6300,3287.71,141489134.6
Cessna 172,4,1285,2209.04,250050.45
Airbus A320,180,6300,615.39,96312870.73
Boeing 777,396,15600,2210.88,490824585.5
Airbus A350,350,14800,3235.57,463152507.7
Airbus A320,180,6300,4158.44,168615757.9
Bombardier CRJ200,50,3000,1595.67,15890609.46
Boeing 777,396,15600,771.2,367604615.6
Boeing 737,162,5700,2686.42,61678568.68
Boeing 737,162,5700,1781.93,93025912.8
Bombardier CRJ200,50,3000,1900.88,27511685.52
Cessna 172,4,1285,3722.68,238954.83
Boeing 777,396,15600,1315.17,388649817.3
Airbus A320,180,6300,1316.47,108999753.4
Cessna 172,4,1285,3052.9,370499.11
Cessna 172,4,1285,4833.17,218486.48
Boeing 737,162,5700,695.36,135579062.6
Bombardier CRJ200,50,3000,4781.32,12619358.48
Airbus A350,350,14800,1526.36,373827795.6
Boeing 737,162,5700,3249.41,55566203.11
Airbus A350,350,14800,4012.36,346518496.2
Airbus A320,180,6300,4201.76,119856645.2
Airbus A350,350,14800,3307.37,551093634.7
Bombardier CRJ200,50,3000,3139.74,21058068.36
Cessna 172,4,1285,1475.33,222544.34
Bombardier CRJ200,50,3000,606.37,13238884.03
Cessna 172,4,1285,1543.76,344441.57
Boeing 737,162,5700,3175.14,70031553.95
Airbus A350,350,14800,2426.9,606680932.5
Boeing 777,396,15600,3615.96,420202474.8
Boeing 777,396,15600,1733.72,758209266.1
Boeing 777,396,15600,885.46,374454283.7
Boeing 777,396,15600,1519.95,357236020.7
Airbus A350,350,14800,812.41,381020735.2
Airbus A320,180,6300,4460.36,127043941.4
Cessna 172,4,1285,2898.31,239936.86
Boeing 777,396,15600,4973.63,349487795.6
Cessna 172,4,1285,3010.03,198635.2
Cessna 172,4,1285,3030.34,212509.61
Airbus A320,180,6300,1288.86,79687975.81
Airbus A320,180,6300,935.04,121109153.5
Boeing 777,396,15600,3902.73,440969195.1
Cessna 172,4,1285,4672.3,226718.77
Boeing 737,162,5700,2296.92,139469698.9
Airbus A320,180,6300,2844.31,79471355.78
Airbus A320,180,6300,901.06,139756826.7
Boeing 737,162,5700,4019.13,62492155.61
Boeing 737,162,5700,662.72,58471857.5
Airbus A350,350,14800,894.39,516404001
Bombardier CRJ200,50,3000,2992.11,10742684.82
Airbus A350,350,14800,3202.67,350592997.2
Cessna 172,4,1285,4637.26,215450.1
